Terminos_GO	Frecuencia	GO_name	GO_fullname
GO:0007224	1	smoothened signaling pathway	GO:0007224_smoothened signaling pathway
GO:0007267	1	cell-cell signaling	GO:0007267_cell-cell signaling
GO:0007280	1	obsolete pole cell migration	GO:0007280_obsolete pole cell migration
GO:0007286	1	spermatid development	GO:0007286_spermatid development
GO:0007346	1	regulation of mitotic cell cycle	GO:0007346_regulation of mitotic cell cycle
GO:0007367	1	segment polarity determination	GO:0007367_segment polarity determination
GO:0007368	1	determination of left/right symmetry	GO:0007368_determination of left/right symmetry
GO:0007399	1	nervous system development	GO:0007399_nervous system development
GO:0007411	1	axon guidance	GO:0007411_axon guidance
GO:0007418	1	ventral midline development	GO:0007418_ventral midline development
GO:0007427	1	epithelial cell migration, open tracheal system	GO:0007427_epithelial cell migration, open tracheal system
GO:0007442	1	hindgut morphogenesis	GO:0007442_hindgut morphogenesis
GO:0007458	1	progression of morphogenetic furrow involved in compound eye morphogenesis	GO:0007458_progression of morphogenetic furrow involved in compound eye morphogenesis
GO:0007476	1	imaginal disc-derived wing morphogenesis	GO:0007476_imaginal disc-derived wing morphogenesis
GO:0007494	1	midgut development	GO:0007494_midgut development
GO:0007506	1	gonadal mesoderm development	GO:0007506_gonadal mesoderm development
GO:0007568	1	obsolete aging	GO:0007568_obsolete aging
GO:0007586	1	digestion	GO:0007586_digestion
GO:0007616	1	long-term memory	GO:0007616_long-term memory
GO:0008020	1	G protein-coupled photoreceptor activity	GO:0008020_G protein-coupled photoreceptor activity
GO:0008234	1	cysteine-type peptidase activity	GO:0008234_cysteine-type peptidase activity
GO:0008271	1	secondary active sulfate transmembrane transporter activity	GO:0008271_secondary active sulfate transmembrane transporter activity
GO:0008272	1	obsolete sulfate transport	GO:0008272_obsolete sulfate transport
GO:0008306	1	associative learning	GO:0008306_associative learning
GO:0008307	1	structural constituent of muscle	GO:0008307_structural constituent of muscle
GO:0008347	1	glial cell migration	GO:0008347_glial cell migration
GO:0008361	1	regulation of cell size	GO:0008361_regulation of cell size
GO:0008395	1	steroid hydroxylase activity	GO:0008395_steroid hydroxylase activity
GO:0008456	1	alpha-N-acetylgalactosaminidase activity	GO:0008456_alpha-N-acetylgalactosaminidase activity
GO:0008509	1	monoatomic anion transmembrane transporter activity	GO:0008509_monoatomic anion transmembrane transporter activity
GO:0008534	1	oxidized purine nucleobase lesion DNA N-glycosylase activity	GO:0008534_oxidized purine nucleobase lesion DNA N-glycosylase activity
GO:0008565	1	obsolete protein transporter activity	GO:0008565_obsolete protein transporter activity
GO:0008593	1	regulation of Notch signaling pathway	GO:0008593_regulation of Notch signaling pathway
GO:0008643	1	carbohydrate transport	GO:0008643_carbohydrate transport
GO:0008654	1	phospholipid biosynthetic process	GO:0008654_phospholipid biosynthetic process
GO:0008705	1	methionine synthase activity	GO:0008705_methionine synthase activity
GO:0008757	1	S-adenosylmethionine-dependent methyltransferase activity	GO:0008757_S-adenosylmethionine-dependent methyltransferase activity
GO:0008801	1	beta-phosphoglucomutase activity	GO:0008801_beta-phosphoglucomutase activity
GO:0009001	1	serine O-acetyltransferase activity	GO:0009001_serine O-acetyltransferase activity
GO:0009055	1	electron transfer activity	GO:0009055_electron transfer activity
GO:0009060	1	aerobic respiration	GO:0009060_aerobic respiration
GO:0009061	1	anaerobic respiration	GO:0009061_anaerobic respiration
GO:0009311	1	oligosaccharide metabolic process	GO:0009311_oligosaccharide metabolic process
GO:0009314	1	response to radiation	GO:0009314_response to radiation
GO:0009346	1	ATP-independent citrate lyase complex	GO:0009346_ATP-independent citrate lyase complex
GO:0009411	1	response to UV	GO:0009411_response to UV
GO:0009416	1	response to light stimulus	GO:0009416_response to light stimulus
GO:0009749	1	response to glucose	GO:0009749_response to glucose
GO:0009922	1	fatty acid elongase activity	GO:0009922_fatty acid elongase activity
GO:0009986	1	cell surface	GO:0009986_cell surface
GO:0010043	1	response to zinc ion	GO:0010043_response to zinc ion
GO:0010265	1	SCF complex assembly	GO:0010265_SCF complex assembly
GO:0010494	1	cytoplasmic stress granule	GO:0010494_cytoplasmic stress granule
GO:0010629	1	negative regulation of gene expression	GO:0010629_negative regulation of gene expression
GO:0010800	1	positive regulation of peptidyl-threonine phosphorylation	GO:0010800_positive regulation of peptidyl-threonine phosphorylation
GO:0010824	1	regulation of centrosome duplication	GO:0010824_regulation of centrosome duplication
GO:0010917	1	negative regulation of mitochondrial membrane potential	GO:0010917_negative regulation of mitochondrial membrane potential
GO:0010940	1	obsolete positive regulation of necrotic cell death	GO:0010940_obsolete positive regulation of necrotic cell death
GO:0010972	1	negative regulation of G2/M transition of mitotic cell cycle	GO:0010972_negative regulation of G2/M transition of mitotic cell cycle
GO:0014069	1	postsynaptic density	GO:0014069_postsynaptic density
GO:0014075	1	response to amine	GO:0014075_response to amine
GO:0014718	1	positive regulation of satellite cell activation involved in skeletal muscle regeneration	GO:0014718_positive regulation of satellite cell activation involved in skeletal muscle regeneration
GO:0014850	1	response to muscle activity	GO:0014850_response to muscle activity
GO:0015030	1	Cajal body	GO:0015030_Cajal body
GO:0015093	1	ferrous iron transmembrane transporter activity	GO:0015093_ferrous iron transmembrane transporter activity
GO:0015116	1	sulfate transmembrane transporter activity	GO:0015116_sulfate transmembrane transporter activity
GO:0015175	1	neutral L-amino acid transmembrane transporter activity	GO:0015175_neutral L-amino acid transmembrane transporter activity
GO:0015184	1	L-cystine transmembrane transporter activity	GO:0015184_L-cystine transmembrane transporter activity
GO:0015293	1	symporter activity	GO:0015293_symporter activity
GO:0015301	1	obsolete anion:anion antiporter activity	GO:0015301_obsolete anion:anion antiporter activity
GO:0015321	1	NA	GO:0015321_NA
GO:0015804	1	neutral amino acid transport	GO:0015804_neutral amino acid transport
GO:0015811	1	L-cystine transport	GO:0015811_L-cystine transport
GO:0016015	1	morphogen activity	GO:0016015_morphogen activity
GO:0016042	1	lipid catabolic process	GO:0016042_lipid catabolic process
GO:0016055	1	Wnt signaling pathway	GO:0016055_Wnt signaling pathway
GO:0016125	1	sterol metabolic process	GO:0016125_sterol metabolic process
GO:0016139	1	glycoside catabolic process	GO:0016139_glycoside catabolic process
GO:0016150	1	translation release factor activity, codon nonspecific	GO:0016150_translation release factor activity, codon nonspecific
GO:0016153	1	urocanate hydratase activity	GO:0016153_urocanate hydratase activity
GO:0016298	1	lipase activity	GO:0016298_lipase activity
GO:0016301	1	kinase activity	GO:0016301_kinase activity
GO:0016335	1	morphogenesis of larval imaginal disc epithelium	GO:0016335_morphogenesis of larval imaginal disc epithelium
GO:0016513	1	core-binding factor complex	GO:0016513_core-binding factor complex
GO:0016539	1	intein-mediated protein splicing	GO:0016539_intein-mediated protein splicing
GO:0016584	1	obsolete nucleosome positioning	GO:0016584_obsolete nucleosome positioning
GO:0016594	1	glycine binding	GO:0016594_glycine binding
GO:0016605	1	PML body	GO:0016605_PML body
GO:0016607	1	nuclear speck	GO:0016607_nuclear speck
GO:0016787	1	hydrolase activity	GO:0016787_hydrolase activity
GO:0016791	1	phosphatase activity	GO:0016791_phosphatase activity
GO:0016901	1	oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor	GO:0016901_oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor
GO:0017053	1	transcription repressor complex	GO:0017053_transcription repressor complex
GO:0017168	1	5-oxoprolinase (ATP-hydrolyzing) activity	GO:0017168_5-oxoprolinase (ATP-hydrolyzing) activity
GO:0017174	1	glycine N-methyltransferase activity	GO:0017174_glycine N-methyltransferase activity
GO:0018105	1	peptidyl-serine phosphorylation	GO:0018105_peptidyl-serine phosphorylation
GO:0018243	1	obsolete protein O-linked glycosylation via threonine	GO:0018243_obsolete protein O-linked glycosylation via threonine
GO:0018478	1	malonate-semialdehyde dehydrogenase (acetylating) activity	GO:0018478_malonate-semialdehyde dehydrogenase (acetylating) activity
GO:0019005	1	SCF ubiquitin ligase complex	GO:0019005_SCF ubiquitin ligase complex
GO:0019104	1	DNA N-glycosylase activity	GO:0019104_DNA N-glycosylase activity
GO:0019221	1	cytokine-mediated signaling pathway	GO:0019221_cytokine-mediated signaling pathway
GO:0019344	1	cysteine biosynthetic process	GO:0019344_cysteine biosynthetic process
GO:0019367	1	fatty acid elongation, saturated fatty acid	GO:0019367_fatty acid elongation, saturated fatty acid
GO:0019370	1	leukotriene biosynthetic process	GO:0019370_leukotriene biosynthetic process
GO:0019372	1	lipoxygenase pathway	GO:0019372_lipoxygenase pathway
GO:0019433	1	triglyceride catabolic process	GO:0019433_triglyceride catabolic process
GO:0019516	1	obsolete lactate oxidation	GO:0019516_obsolete lactate oxidation
GO:0019556	1	L-histidine catabolic process to glutamate and formamide	GO:0019556_L-histidine catabolic process to glutamate and formamide
GO:0019557	1	L-histidine catabolic process to glutamate and formate	GO:0019557_L-histidine catabolic process to glutamate and formate
GO:0019878	1	lysine biosynthetic process via aminoadipic acid	GO:0019878_lysine biosynthetic process via aminoadipic acid
GO:0019888	1	protein phosphatase regulator activity	GO:0019888_protein phosphatase regulator activity
GO:0019902	1	phosphatase binding	GO:0019902_phosphatase binding
GO:0019915	1	lipid storage	GO:0019915_lipid storage
GO:0019964	1	type II interferon binding	GO:0019964_type II interferon binding
GO:0021960	1	anterior commissure morphogenesis	GO:0021960_anterior commissure morphogenesis
GO:0022029	1	telencephalon cell migration	GO:0022029_telencephalon cell migration
GO:0022408	1	negative regulation of cell-cell adhesion	GO:0022408_negative regulation of cell-cell adhesion
GO:0022625	1	cytosolic large ribosomal subunit	GO:0022625_cytosolic large ribosomal subunit
GO:0022627	1	cytosolic small ribosomal subunit	GO:0022627_cytosolic small ribosomal subunit
GO:0022904	1	respiratory electron transport chain	GO:0022904_respiratory electron transport chain
GO:0030001	1	metal ion transport	GO:0030001_metal ion transport
GO:0030016	1	myofibril	GO:0030016_myofibril
GO:0030018	1	Z disc	GO:0030018_Z disc
GO:0030027	1	lamellipodium	GO:0030027_lamellipodium
GO:0030054	1	cell junction	GO:0030054_cell junction
GO:0030061	1	mitochondrial crista	GO:0030061_mitochondrial crista
GO:0030097	1	hemopoiesis	GO:0030097_hemopoiesis
GO:0030099	1	myeloid cell differentiation	GO:0030099_myeloid cell differentiation
GO:0030111	1	regulation of Wnt signaling pathway	GO:0030111_regulation of Wnt signaling pathway
GO:0030139	1	endocytic vesicle	GO:0030139_endocytic vesicle
GO:0030145	1	manganese ion binding	GO:0030145_manganese ion binding
GO:0030154	1	cell differentiation	GO:0030154_cell differentiation
GO:0030176	1	obsolete integral component of endoplasmic reticulum membrane	GO:0030176_obsolete integral component of endoplasmic reticulum membrane
GO:0030182	1	neuron differentiation	GO:0030182_neuron differentiation
GO:0030198	1	extracellular matrix organization	GO:0030198_extracellular matrix organization
GO:0030239	1	myofibril assembly	GO:0030239_myofibril assembly
GO:0030246	1	carbohydrate binding	GO:0030246_carbohydrate binding
GO:0030261	1	chromosome condensation	GO:0030261_chromosome condensation
GO:0030282	1	bone mineralization	GO:0030282_bone mineralization
GO:0030291	1	protein serine/threonine kinase inhibitor activity	GO:0030291_protein serine/threonine kinase inhibitor activity
GO:0030295	1	protein kinase activator activity	GO:0030295_protein kinase activator activity
GO:0030307	1	positive regulation of cell growth	GO:0030307_positive regulation of cell growth
GO:0030315	1	T-tubule	GO:0030315_T-tubule
GO:0030332	1	cyclin binding	GO:0030332_cyclin binding
GO:0030374	1	obsolete nuclear receptor coactivator activity	GO:0030374_obsolete nuclear receptor coactivator activity
GO:0030424	1	axon	GO:0030424_axon
GO:0030425	1	dendrite	GO:0030425_dendrite
GO:0030643	1	intracellular phosphate ion homeostasis	GO:0030643_intracellular phosphate ion homeostasis
GO:0030667	1	secretory granule membrane	GO:0030667_secretory granule membrane
GO:0030670	1	phagocytic vesicle membrane	GO:0030670_phagocytic vesicle membrane
GO:0030674	1	protein-macromolecule adaptor activity	GO:0030674_protein-macromolecule adaptor activity
GO:0030853	1	negative regulation of granulocyte differentiation	GO:0030853_negative regulation of granulocyte differentiation
GO:0030854	1	positive regulation of granulocyte differentiation	GO:0030854_positive regulation of granulocyte differentiation
GO:0031065	1	obsolete positive regulation of histone deacetylation	GO:0031065_obsolete positive regulation of histone deacetylation
GO:0031146	1	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	GO:0031146_SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
GO:0031210	1	phosphatidylcholine binding	GO:0031210_phosphatidylcholine binding
GO:0031234	1	extrinsic component of cytoplasmic side of plasma membrane	GO:0031234_extrinsic component of cytoplasmic side of plasma membrane
GO:0031297	1	replication fork processing	GO:0031297_replication fork processing
GO:0031410	1	cytoplasmic vesicle	GO:0031410_cytoplasmic vesicle
GO:0031419	1	cobalamin binding	GO:0031419_cobalamin binding
GO:0031432	1	titin binding	GO:0031432_titin binding
GO:0031463	1	Cul3-RING ubiquitin ligase complex	GO:0031463_Cul3-RING ubiquitin ligase complex
GO:0031492	1	nucleosomal DNA binding	GO:0031492_nucleosomal DNA binding
GO:0031528	1	microvillus membrane	GO:0031528_microvillus membrane
GO:0031669	1	cellular response to nutrient levels	GO:0031669_cellular response to nutrient levels
GO:0031929	1	TOR signaling	GO:0031929_TOR signaling
GO:0031931	1	TORC1 complex	GO:0031931_TORC1 complex
GO:0031936	1	obsolete negative regulation of chromatin silencing	GO:0031936_obsolete negative regulation of chromatin silencing
GO:0031966	1	mitochondrial membrane	GO:0031966_mitochondrial membrane
GO:0032008	1	positive regulation of TOR signaling	GO:0032008_positive regulation of TOR signaling
GO:0032024	1	positive regulation of insulin secretion	GO:0032024_positive regulation of insulin secretion
GO:0032094	1	response to food	GO:0032094_response to food
GO:0032154	1	cleavage furrow	GO:0032154_cleavage furrow
GO:0032259	1	methylation	GO:0032259_methylation
GO:0032355	1	response to estradiol	GO:0032355_response to estradiol
GO:0032357	1	oxidized purine DNA binding	GO:0032357_oxidized purine DNA binding
GO:0032450	1	obsolete maltose alpha-glucosidase activity	GO:0032450_obsolete maltose alpha-glucosidase activity
GO:0032508	1	obsolete DNA duplex unwinding	GO:0032508_obsolete DNA duplex unwinding
GO:0032579	1	apical lamina of hyaline layer	GO:0032579_apical lamina of hyaline layer
GO:0032592	1	obsolete integral component of mitochondrial membrane	GO:0032592_obsolete integral component of mitochondrial membrane
GO:0032743	1	positive regulation of interleukin-2 production	GO:0032743_positive regulation of interleukin-2 production
GO:0032868	1	response to insulin	GO:0032868_response to insulin
GO:0032947	1	NA	GO:0032947_NA
GO:0033138	1	positive regulation of peptidyl-serine phosphorylation	GO:0033138_positive regulation of peptidyl-serine phosphorylation
GO:0033146	1	regulation of intracellular estrogen receptor signaling pathway	GO:0033146_regulation of intracellular estrogen receptor signaling pathway
GO:0033234	1	negative regulation of protein sumoylation	GO:0033234_negative regulation of protein sumoylation
GO:0033512	1	L-lysine catabolic process to acetyl-CoA via saccharopine	GO:0033512_L-lysine catabolic process to acetyl-CoA via saccharopine
GO:0033540	1	fatty acid beta-oxidation using acyl-CoA oxidase	GO:0033540_fatty acid beta-oxidation using acyl-CoA oxidase
GO:0033613	1	NA	GO:0033613_NA
GO:0033683	1	obsolete nucleotide-excision repair, DNA incision	GO:0033683_obsolete nucleotide-excision repair, DNA incision
GO:0033781	1	cholesterol 24-hydroxylase activity	GO:0033781_cholesterol 24-hydroxylase activity
GO:0034039	1	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity	GO:0034039_8-oxo-7,8-dihydroguanine DNA N-glycosylase activity
GO:0034134	1	toll-like receptor 2 signaling pathway	GO:0034134_toll-like receptor 2 signaling pathway
GO:0034201	1	response to oleic acid	GO:0034201_response to oleic acid
GO:0034399	1	nuclear periphery	GO:0034399_nuclear periphery
GO:0034504	1	protein localization to nucleus	GO:0034504_protein localization to nucleus
GO:0034625	1	fatty acid elongation, monounsaturated fatty acid	GO:0034625_fatty acid elongation, monounsaturated fatty acid
GO:0034626	1	fatty acid elongation, polyunsaturated fatty acid	GO:0034626_fatty acid elongation, polyunsaturated fatty acid
GO:0034708	1	methyltransferase complex	GO:0034708_methyltransferase complex
GO:0034765	1	regulation of monoatomic ion transmembrane transport	GO:0034765_regulation of monoatomic ion transmembrane transport
GO:0034774	1	secretory granule lumen	GO:0034774_secretory granule lumen
GO:0035019	1	somatic stem cell population maintenance	GO:0035019_somatic stem cell population maintenance
GO:0035067	1	obsolete negative regulation of histone acetylation	GO:0035067_obsolete negative regulation of histone acetylation
GO:0035154	1	terminal cell fate specification, open tracheal system	GO:0035154_terminal cell fate specification, open tracheal system
GO:0035217	1	labial disc development	GO:0035217_labial disc development
GO:0035222	1	wing disc pattern formation	GO:0035222_wing disc pattern formation
GO:0035224	1	genital disc anterior/posterior pattern formation	GO:0035224_genital disc anterior/posterior pattern formation
GO:0035231	1	cytoneme assembly	GO:0035231_cytoneme assembly
GO:0035257	1	NA	GO:0035257_NA
GO:0035277	1	spiracle morphogenesis, open tracheal system	GO:0035277_spiracle morphogenesis, open tracheal system
GO:0035338	1	long-chain fatty-acyl-CoA biosynthetic process	GO:0035338_long-chain fatty-acyl-CoA biosynthetic process
GO:0035556	1	intracellular signal transduction	GO:0035556_intracellular signal transduction
GO:0035578	1	azurophil granule lumen	GO:0035578_azurophil granule lumen
GO:0035579	1	specific granule membrane	GO:0035579_specific granule membrane
GO:0035641	1	locomotory exploration behavior	GO:0035641_locomotory exploration behavior
GO:0035655	1	interleukin-18-mediated signaling pathway	GO:0035655_interleukin-18-mediated signaling pathway
GO:0035794	1	positive regulation of mitochondrial membrane permeability	GO:0035794_positive regulation of mitochondrial membrane permeability
GO:0036126	1	sperm flagellum	GO:0036126_sperm flagellum
GO:0036156	1	inner dynein arm	GO:0036156_inner dynein arm
GO:0036267	1	invasive filamentous growth	GO:0036267_invasive filamentous growth
GO:0036292	1	obsolete DNA rewinding	GO:0036292_obsolete DNA rewinding
GO:0036310	1	ATP-dependent DNA/DNA annealing activity	GO:0036310_ATP-dependent DNA/DNA annealing activity
GO:0038023	1	signaling receptor activity	GO:0038023_signaling receptor activity
GO:0038202	1	TORC1 signaling	GO:0038202_TORC1 signaling
GO:0042176	1	regulation of protein catabolic process	GO:0042176_regulation of protein catabolic process
GO:0042254	1	ribosome biogenesis	GO:0042254_ribosome biogenesis
GO:0042301	1	phosphate ion binding	GO:0042301_phosphate ion binding
GO:0042311	1	vasodilation	GO:0042311_vasodilation
GO:0042325	1	regulation of phosphorylation	GO:0042325_regulation of phosphorylation
GO:0042391	1	regulation of membrane potential	GO:0042391_regulation of membrane potential
GO:0042427	1	serotonin biosynthetic process	GO:0042427_serotonin biosynthetic process
GO:0042558	1	pteridine-containing compound metabolic process	GO:0042558_pteridine-containing compound metabolic process
GO:0042572	1	retinol metabolic process	GO:0042572_retinol metabolic process
GO:0042574	1	retinal metabolic process	GO:0042574_retinal metabolic process
GO:0042594	1	response to starvation	GO:0042594_response to starvation
GO:0042605	1	peptide antigen binding	GO:0042605_peptide antigen binding
GO:0042645	1	mitochondrial nucleoid	GO:0042645_mitochondrial nucleoid
GO:0042759	1	long-chain fatty acid biosynthetic process	GO:0042759_long-chain fatty acid biosynthetic process
GO:0042761	1	very long-chain fatty acid biosynthetic process	GO:0042761_very long-chain fatty acid biosynthetic process
GO:0042788	1	obsolete polysomal ribosome	GO:0042788_obsolete polysomal ribosome
GO:0042826	1	histone deacetylase binding	GO:0042826_histone deacetylase binding
GO:0042995	1	cell projection	GO:0042995_cell projection
GO:0043005	1	neuron projection	GO:0043005_neuron projection
GO:0043065	1	positive regulation of apoptotic process	GO:0043065_positive regulation of apoptotic process
GO:0043122	1	regulation of canonical NF-kappaB signal transduction	GO:0043122_regulation of canonical NF-kappaB signal transduction
GO:0043161	1	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161_proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0043200	1	response to amino acid	GO:0043200_response to amino acid
GO:0043204	1	perikaryon	GO:0043204_perikaryon
GO:0043209	1	myelin sheath	GO:0043209_myelin sheath
GO:0043371	1	negative regulation of CD4-positive, alpha-beta T cell differentiation	GO:0043371_negative regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043378	1	positive regulation of CD8-positive, alpha-beta T cell differentiation	GO:0043378_positive regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043565	1	sequence-specific DNA binding	GO:0043565_sequence-specific DNA binding
GO:0043596	1	nuclear replication fork	GO:0043596_nuclear replication fork
GO:0043616	1	keratinocyte proliferation	GO:0043616_keratinocyte proliferation
GO:0043627	1	response to estrogen	GO:0043627_response to estrogen
GO:0043679	1	axon terminus	GO:0043679_axon terminus
GO:0043687	1	post-translational protein modification	GO:0043687_post-translational protein modification
GO:0044255	1	obsolete cellular lipid metabolic process	GO:0044255_obsolete cellular lipid metabolic process
GO:0044297	1	cell body	GO:0044297_cell body
GO:0044341	1	sodium-dependent phosphate transport	GO:0044341_sodium-dependent phosphate transport
GO:0044344	1	cellular response to fibroblast growth factor stimulus	GO:0044344_cellular response to fibroblast growth factor stimulus
GO:0045168	1	cell-cell signaling involved in cell fate commitment	GO:0045168_cell-cell signaling involved in cell fate commitment
GO:0045169	1	fusome	GO:0045169_fusome
GO:0045214	1	sarcomere organization	GO:0045214_sarcomere organization
GO:0045503	1	dynein light chain binding	GO:0045503_dynein light chain binding
GO:0045504	1	dynein heavy chain binding	GO:0045504_dynein heavy chain binding
GO:0045589	1	regulation of regulatory T cell differentiation	GO:0045589_regulation of regulatory T cell differentiation
GO:0045616	1	regulation of keratinocyte differentiation	GO:0045616_regulation of keratinocyte differentiation
GO:0045637	1	regulation of myeloid cell differentiation	GO:0045637_regulation of myeloid cell differentiation
GO:0045652	1	regulation of megakaryocyte differentiation	GO:0045652_regulation of megakaryocyte differentiation
GO:0045672	1	positive regulation of osteoclast differentiation	GO:0045672_positive regulation of osteoclast differentiation
GO:0045721	1	negative regulation of gluconeogenesis	GO:0045721_negative regulation of gluconeogenesis
GO:0045744	1	negative regulation of G protein-coupled receptor signaling pathway	GO:0045744_negative regulation of G protein-coupled receptor signaling pathway
GO:0045766	1	positive regulation of angiogenesis	GO:0045766_positive regulation of angiogenesis
GO:0045861	1	negative regulation of proteolysis	GO:0045861_negative regulation of proteolysis
GO:0045862	1	positive regulation of proteolysis	GO:0045862_positive regulation of proteolysis
GO:0045945	1	positive regulation of transcription by RNA polymerase III	GO:0045945_positive regulation of transcription by RNA polymerase III
GO:0046185	1	aldehyde catabolic process	GO:0046185_aldehyde catabolic process
GO:0046209	1	nitric oxide metabolic process	GO:0046209_nitric oxide metabolic process
GO:0046477	1	glycosylceramide catabolic process	GO:0046477_glycosylceramide catabolic process
GO:0046498	1	S-adenosylhomocysteine metabolic process	GO:0046498_S-adenosylhomocysteine metabolic process
GO:0046500	1	S-adenosylmethionine metabolic process	GO:0046500_S-adenosylmethionine metabolic process
GO:0046655	1	folic acid metabolic process	GO:0046655_folic acid metabolic process
GO:0046676	1	negative regulation of insulin secretion	GO:0046676_negative regulation of insulin secretion
GO:0046824	1	positive regulation of nucleocytoplasmic transport	GO:0046824_positive regulation of nucleocytoplasmic transport
GO:0046982	1	protein heterodimerization activity	GO:0046982_protein heterodimerization activity
GO:0046983	1	protein dimerization activity	GO:0046983_protein dimerization activity
GO:0047130	1	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity	GO:0047130_saccharopine dehydrogenase (NADP+, L-lysine-forming) activity
GO:0047131	1	saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity	GO:0047131_saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity
GO:0048038	1	quinone binding	GO:0048038_quinone binding
GO:0048471	1	perinuclear region of cytoplasm	GO:0048471_perinuclear region of cytoplasm
GO:0048478	1	obsolete replication fork protection	GO:0048478_obsolete replication fork protection
GO:0048545	1	response to steroid hormone	GO:0048545_response to steroid hormone
GO:0048692	1	negative regulation of axon extension involved in regeneration	GO:0048692_negative regulation of axon extension involved in regeneration
GO:0048935	1	peripheral nervous system neuron development	GO:0048935_peripheral nervous system neuron development
GO:0050308	1	sugar-phosphatase activity	GO:0050308_sugar-phosphatase activity
GO:0050661	1	NADP binding	GO:0050661_NADP binding
GO:0050667	1	homocysteine metabolic process	GO:0050667_homocysteine metabolic process
GO:0050679	1	positive regulation of epithelial cell proliferation	GO:0050679_positive regulation of epithelial cell proliferation
GO:0050707	1	NA	GO:0050707_NA
GO:0050729	1	positive regulation of inflammatory response	GO:0050729_positive regulation of inflammatory response
GO:0050790	1	regulation of catalytic activity	GO:0050790_regulation of catalytic activity
GO:0050805	1	negative regulation of synaptic transmission	GO:0050805_negative regulation of synaptic transmission
GO:0050808	1	synapse organization	GO:0050808_synapse organization
GO:0050839	1	cell adhesion molecule binding	GO:0050839_cell adhesion molecule binding
GO:0050855	1	regulation of B cell receptor signaling pathway	GO:0050855_regulation of B cell receptor signaling pathway
GO:0050885	1	neuromuscular process controlling balance	GO:0050885_neuromuscular process controlling balance
GO:0050896	1	response to stimulus	GO:0050896_response to stimulus
GO:0051028	1	mRNA transport	GO:0051028_mRNA transport
GO:0051082	1	unfolded protein binding	GO:0051082_unfolded protein binding
GO:0051085	1	obsolete chaperone cofactor-dependent protein refolding	GO:0051085_obsolete chaperone cofactor-dependent protein refolding
GO:0051087	1	protein-folding chaperone binding	GO:0051087_protein-folding chaperone binding
GO:0051091	1	positive regulation of DNA-binding transcription factor activity	GO:0051091_positive regulation of DNA-binding transcription factor activity
GO:0051092	1	positive regulation of NF-kappaB transcription factor activity	GO:0051092_positive regulation of NF-kappaB transcription factor activity
GO:0051225	1	spindle assembly	GO:0051225_spindle assembly
GO:0051260	1	protein homooligomerization	GO:0051260_protein homooligomerization
GO:0051281	1	positive regulation of release of sequestered calcium ion into cytosol	GO:0051281_positive regulation of release of sequestered calcium ion into cytosol
GO:0051289	1	protein homotetramerization	GO:0051289_protein homotetramerization
GO:0051291	1	protein heterooligomerization	GO:0051291_protein heterooligomerization
GO:0051384	1	response to glucocorticoid	GO:0051384_response to glucocorticoid
GO:0051560	1	mitochondrial calcium ion homeostasis	GO:0051560_mitochondrial calcium ion homeostasis
GO:0051591	1	response to cAMP	GO:0051591_response to cAMP
GO:0051592	1	response to calcium ion	GO:0051592_response to calcium ion
GO:0051593	1	response to folic acid	GO:0051593_response to folic acid
GO:0051603	1	proteolysis involved in protein catabolic process	GO:0051603_proteolysis involved in protein catabolic process
GO:0051971	1	positive regulation of transmission of nerve impulse	GO:0051971_positive regulation of transmission of nerve impulse
GO:0051990	1	(R)-2-hydroxyglutarate dehydrogenase activity	GO:0051990_(R)-2-hydroxyglutarate dehydrogenase activity
GO:0052631	1	sphingolipid 8-(E/Z)-desaturase activity	GO:0052631_sphingolipid 8-(E/Z)-desaturase activity
GO:0052667	1	obsolete phosphomethylethanolamine N-methyltransferase activity	GO:0052667_obsolete phosphomethylethanolamine N-methyltransferase activity
GO:0055081	1	monoatomic anion homeostasis	GO:0055081_monoatomic anion homeostasis
GO:0055085	1	transmembrane transport	GO:0055085_transmembrane transport
GO:0055103	1	ligase regulator activity	GO:0055103_ligase regulator activity
GO:0055114	1	obsolete oxidation-reduction process	GO:0055114_obsolete oxidation-reduction process
GO:0055123	1	digestive system development	GO:0055123_digestive system development
GO:0060271	1	cilium assembly	GO:0060271_cilium assembly
GO:0060291	1	long-term synaptic potentiation	GO:0060291_long-term synaptic potentiation
GO:0060416	1	response to growth hormone	GO:0060416_response to growth hormone
GO:0060914	1	heart formation	GO:0060914_heart formation
GO:0061061	1	muscle structure development	GO:0061061_muscle structure development
GO:0061314	1	Notch signaling involved in heart development	GO:0061314_Notch signaling involved in heart development
GO:0061630	1	ubiquitin protein ligase activity	GO:0061630_ubiquitin protein ligase activity
